library_name,github_repo,stars,usage_count,model_ids
,,,1,antoinelouis/colbert-xm
BCEmbedding,,,2,"maidalun1020/bce-embedding-base_v1, maidalun1020/bce-reranker-base_v1"
C_MTEB,,,1,aspire/acge_text_embedding
ChatTTS,,,1,2Noise/ChatTTS
ChatUniVi,,,1,Chat-UniVi/Chat-UniVi
CodonTransformer,,,1,adibvafa/CodonTransformer
FlagEmbedding,,,25,"BAAI/bge-base-en-v1.5, BAAI/bge-large-en-v1.5, BAAI/bge-small-en-v1.5, BAAI/bge-reranker-large, BAAI/bge-m3, BAAI/bge-reranker-v2-m3, BAAI/bge-large-zh-v1.5, BAAI/bge-small-en, BAAI/bge-reranker-base, BAAI/llm-embedder, BAAI/bge-large-en, BAAI/bge-base-en, BAAI/bge-small-zh-v1.5, BAAI/bge-en-icl, BAAI/bge-reranker-v2-gemma, BAAI/bge-multilingual-gemma2, antoinelouis/crossencoder-mMiniLMv2-L12-mmarcoFR, BAAI/bge-base-zh-v1.5, BAAI/bge-reranker-v2.5-gemma2-lightweight, BAAI/bge-reranker-v2-minicpm-layerwise, antoinelouis/crossencoder-camembert-large-mmarcoFR, BAAI/bge-small-zh, BAAI/bge-large-zh, khoa-klaytn/bge-small-en-v1.5-angle, antoinelouis/biencoder-camembert-base-mmarcoFR"
GENA_LM,,,1,AIRI-Institute/gena-lm-bert-base-t2t
IPython,,,29,"nguyenvulebinh/wav2vec2-base-vi, facebook/musicgen-small, facebook/seamless-m4t-v2-large, m3hrdadfi/wav2vec2-xlsr-persian-speech-emotion-recognition, declare-lab/tango-full, suno/bark, cvssp/audioldm-l-full, suno/bark-small, m3hrdadfi/hubert-base-persian-speech-gender-recognition, facebook/mms-tts-eng, facebook/mms-tts-fin, 2Noise/ChatTTS, ylacombe/bark-small, nguyenvulebinh/wav2vec2-base-vi-vlsp2020, cvssp/audioldm2, facebook/mms-tts-fra, cvssp/audioldm2-large, facebook/mms-tts-hin, facebook/musicgen-large, facebook/mms-tts-spa, facebook/musicgen-stereo-small, facebook/fastspeech2-en-ljspeech, facebook/musicgen-medium, facebook/mms-tts-por, facebook/mms-tts-rus, kakao-enterprise/vits-ljs, facebook/mms-tts-ara, m3hrdadfi/wav2vec2-large-xlsr-persian, facebook/musicgen-stereo-large"
IndicTransTokenizer,,,2,"ai4bharat/indictrans2-en-indic-1B, ai4bharat/indictrans2-en-indic-dist-200M"
IndicTransToolkit,,,3,"ai4bharat/indictrans2-indic-en-1B, ai4bharat/indictrans2-indic-en-dist-200M, ai4bharat/indictrans2-indic-indic-1B"
InstructorEmbedding,,,3,"hkunlp/instructor-large, hkunlp/instructor-xl, hkunlp/instructor-base"
MeCab,,,4,"TKU410410103/wav2vec2-base-japanese-asr, TKU410410103/hubert-base-japanese-asr, TKU410410103/hubert-large-japanese-asr, TKU410410103/uniTKU-hubert-japanese-asr"
PyPDF2,,,4,"wenbopan/Faro-Yi-9B-DPO, wenbopan/Faro-Yi-9B, wenbopan/Faro-Yi-34B, wenbopan/Faro-Yi-34B-DPO"
TTS,,,2,"coqui/XTTS-v2, coqui/XTTS-v1"
abc,,,1,nbroad/ESG-BERT
accelerate,,,5,"THUDM/cogvlm-chat-hf, AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety, sayakpaul/FLUX.1-merged, abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq, yujiepan/llama-3-tiny-random"
adapters,,,3,"allenai/specter2_aug2023refresh_base, allenai/specter2_base, allenai/specter2"
angle_emb,,,6,"WhereIsAI/UAE-Large-V1, mixedbread-ai/deepset-mxbai-embed-de-large-v1, SeanLee97/angle-llama-7b-nli-20231027, SeanLee97/angle-llama-7b-nli-v2, mixedbread-ai/mxbai-embed-2d-large-v1, SeanLee97/angle-bert-base-uncased-nli-en-v1"
anxiety,,,1,Stancld/longt5-tglobal-large-16384-pubmed-3k_steps
arabert,,,9,"aubmindlab/bert-base-arabert, aubmindlab/bert-base-arabertv02-twitter, aubmindlab/bert-base-arabertv02, aubmindlab/aragpt2-large, aubmindlab/bert-base-arabertv2, aubmindlab/aragpt2-base, aubmindlab/aragpt2-medium, aubmindlab/bert-large-arabertv02, moha/arabert_c19"
argparse,,,7,"THUDM/cogagent-chat-hf, aspire/acge_text_embedding, Harveenchadha/vakyansh-wav2vec2-tamil-tam-250, KevSun/Personality_LM, THUDM/cogvlm2-llama3-caption, NVEagle/Eagle-X5-13B-Chat, NVEagle/Eagle-X5-7B"
attention_sinks,,,1,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2
audiocraft,,,8,"facebook/musicgen-small, facebook/musicgen-melody, facebook/audiogen-medium, facebook/musicgen-large, facebook/musicgen-stereo-small, facebook/musicgen-medium, facebook/musicgen-stereo-large, facebook/magnet-small-10secs"
aura_sr,,,2,"fal/AuraSR-v2, fal/AuraSR"
