id,model_id,created_at,custom_class,repo_url,auto_model,downloads,securitystatus,libraries,date,filenames,extensions,model_category
15782,google/pegasus-xsum,"""2022-03-02T23:29:05+00:00""",,"""https://huggingface.co/google/pegasus-xsum""",,136375,,"['pytorch', 'transformers', 'jax', 'tf']",2024-08-01,".gitattributes, README.md, config.json, flax_model.msgpack, generation_config.json, pytorch_model.bin, special_tokens_map.json, spiece.model, tf_model.h5, tf_weights_dict.pkl, tokenizer.json, tokenizer_config.json","{'', 'h5', 'pkl', 'bin', 'msgpack', 'model', 'md', 'json'}",pickle_variant_without_safetensors
149184,BlueAvenir/sustainability_relevance_class_model,"""2023-03-23T09:47:58+00:00""",,"""https://huggingface.co/BlueAvenir/sustainability_relevance_class_model""",,25429,,"['pytorch', 'transformers', 'sentence-transformers']",2024-08-01,".gitattributes, 1_Pooling/config.json, README.md, config.json, config_sentence_transformers.json, model_head.pkl, modules.json, pytorch_model.bin, sentence_bert_config.json, sentencepiece.bpe.model, special_tokens_map.json, tokenizer.json, tokenizer_config.json","{'', 'pkl', 'bin', 'model', 'md', 'json'}",pickle_variant_without_safetensors
109550,wajidlinux99/gibberish-text-detector,"""2023-01-16T11:46:09+00:00""",,"""https://huggingface.co/wajidlinux99/gibberish-text-detector""",,25371,,"['pytorch', 'transformers']",2024-08-01,".gitattributes, README.md, config.json, git/HEAD, git/config, git/description, git/hooks/applypatch-msg.sample, git/hooks/commit-msg.sample, git/hooks/fsmonitor-watchman.sample, git/hooks/post-update.sample, git/hooks/pre-applypatch.sample, git/hooks/pre-commit.sample, git/hooks/pre-push.sample, git/hooks/pre-rebase.sample, git/hooks/pre-receive.sample, git/hooks/prepare-commit-msg.sample, git/hooks/update.sample, git/index, git/info/exclude, git/logs/HEAD, git/logs/refs/heads/main, git/logs/refs/remotes/origin/HEAD, git/objects/0f/e1689bf2b46df033077799963d83d3183ada3c, git/objects/21/b29ab864793dc86d157902941b2ff4bbe2bbca, git/objects/40/642edcb6d7356c0b71bed6ef38975930a31b7e, git/objects/6d/34772f5ca361021038b404fb913ec8dc0b1a5a, git/objects/6f/79ff624e45d382fbaf49404bc90b4648157121, git/objects/98/9bbd4f91193729ec682f0656b77ae6417b1a8a, git/objects/b0/169ad343a2241e2acfee7cd228ac31d81932e0, git/objects/b4/30917ca5103ad7d19dceccfeb61d6127030c83, git/objects/db/6c021260b82f42ba81a4e48dc2906ca8ba25c8, git/objects/dc/a8824614d9b8e0ae297ce8a18241209e507f74, git/objects/e6/1b1eead3cc98e8a848a86c820060160d46934a, git/objects/e7/b0375001f109a6b8873d756ad4f7bbb15fbaa5, git/objects/f6/3f9e3054bfd9e29fdc887b739ca529ac82bf69, git/objects/fb/140275c155a9c7c5a3b3e0e77a9e839594a938, git/packed-refs, git/refs/heads/main, git/refs/remotes/origin/HEAD, pytorch_model.bin, sample_input.pkl, special_tokens_map.json, tokenizer.json, tokenizer_config.json, vocab.txt","{'', 'sample', 'pkl', 'txt', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
176770,Salesforce/safety-flan-t5-base,"""2023-04-27T05:35:36+00:00""",,"""https://huggingface.co/Salesforce/safety-flan-t5-base""",,16077,,"['pytorch', 'transformers']",2024-08-01,".gitattributes, README.md, config.json, optimizer.bin, pytorch_model.bin, random_states_0.pkl, random_states_1.pkl, scheduler.bin, special_tokens_map.json, tokenizer.json, tokenizer_config.json","{'', 'pkl', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
48,transfo-xl/transfo-xl-wt103,"""2022-03-02T23:29:04+00:00""",,"""https://huggingface.co/transfo-xl/transfo-xl-wt103""",,11576,,"['pytorch', 'transformers', 'tf']",2024-08-01,".gitattributes, README.md, config.json, corpus.bin, generation_config.json, generation_config_for_text_generation.json, pytorch_model.bin, tf_model.h5, vocab.bin, vocab.json, vocab.pkl","{'', 'h5', 'pkl', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
627270,Backedman/TriviaAnsweringMachineREAL,"""2024-05-07T01:04:47+00:00""","""QBModelWrapper.QBModelWrapper""","""https://huggingface.co/Backedman/TriviaAnsweringMachineREAL""",,7668,,"['pytorch', 'transformers']",2024-08-01,".gitattributes, .gitignore, QAPipeline.py, QBModelConfig.py, QBModelWrapper.py, README.md, config.json, custom_tokenizer.py, data/categorizer, data_collection.py, folder, models/Current Events_tfidf.pkl, models/Fine Arts_tfidf.pkl, models/Geography_tfidf.pkl, models/History_tfidf.pkl, models/Literature_tfidf.pkl, models/Mythology_tfidf.pkl, models/Philosophy_tfidf.pkl, models/Religion_tfidf.pkl, models/Science_tfidf.pkl, models/Social Science_tfidf.pkl, models/Trash_tfidf.pkl, models/categorizer, pytorch_model.bin, qbmodel.py, question_categorizer.py, rand.py, requirements.txt, submission.py, tfidf_model.py","{'', 'pkl', 'txt', 'py', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
626501,nes470/pipeline-as-repo,"""2024-05-06T15:27:54+00:00""","""QBModelWrapperCopy.QBModelWrapper""","""https://huggingface.co/nes470/pipeline-as-repo""",,7581,,"['pytorch', 'transformers']",2024-08-01,".DS_Store, .gitattributes, QBModelConfig.py, QBModelWrapper.py, QBModelWrapperCopy.py, QBpipeline.py, README.md, __init__.py, __pycache__/QBModelConfig.cpython-311.pyc, __pycache__/QBModelWrapper.cpython-311.pyc, __pycache__/QBModelWrapperCopy.cpython-311.pyc, __pycache__/QBpipeline.cpython-311.pyc, __pycache__/qbmodel.cpython-311.pyc, __pycache__/tfidf.cpython-311.pyc, config.json, huggingface.py, logreg_buzzer_balanced_compact_model.pkl, logreg_buzzer_balanced_extra_model.pkl, logreg_buzzer_model.pkl, logreg_buzzer_unbalanced_model.pkl, main/QBModelConfig.py, main/QBModelWrapperCopy.py, main/QBpipeline.py, main/config.json, main/pytorch_model.bin, models/processed_tfidf_wiki_16_model.pkl, models/processed_tfidf_wiki_page_text_model.pkl, output_data_csv, processed_tfidf_wiki_page_text_model.pkl, pytorch_model.bin, qbmodel.py, questions.json, resources/.DS_Store, resources/sample_questions, resources/small.buzztrain.json, resources/small.guesstrain.json, resources/wiki_page_text.json, resources/wiki_text_16.json, resources/wiki_text_2.json, resources/wiki_text_4.json.zip, resources/wiki_text_8.json.zip, test-huggingface, testqb.py, tfidf-vectorizer.pkl, tfidf.ipynb, tfidf.py","{'', 'pkl', 'zip', 'py', 'pyc', 'bin', 'ipynb', 'md', 'json'}",pickle_variant_without_safetensors
47559,facebook/mgenre-wiki,"""2022-06-08T09:25:11+00:00""",,"""https://huggingface.co/facebook/mgenre-wiki""",,5091,,"['pytorch', 'transformers', 'jax', 'tf']",2024-08-01,".gitattributes, README.md, config.json, flax_model.msgpack, generation_config.json, pytorch_model.bin, sentencepiece.bpe.model, special_tokens_map.json, tf_model.h5, titles_lang_all105_marisa_trie_with_redirect.pkl, titles_lang_all105_trie_with_redirect.pkl, tokenizer.json, tokenizer_config.json","{'', 'h5', 'pkl', 'bin', 'msgpack', 'model', 'md', 'json'}",pickle_variant_without_safetensors
127559,AntoineMC/distilbart-mnli-github-issues,"""2023-02-19T21:23:47+00:00""",,"""https://huggingface.co/AntoineMC/distilbart-mnli-github-issues""",,4690,,"['pytorch', 'transformers']",2024-08-01,".gitattributes, README.md, config.json, pytorch_model.bin, special_tokens_map.json, tokenizer.json, tokenizer_config.json, training_args.bin, training_args/data.pkl, training_args/version, vocab.txt","{'', 'pkl', 'txt', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
46094,philschmid/BERT-Banking77,"""2022-06-02T10:37:57+00:00""",,"""https://huggingface.co/philschmid/BERT-Banking77""",,3531,,"['pytorch', 'transformers']",2024-08-01,".gitattributes, README.md, config.json, pytorch_model.bin, sample_input.pkl, special_tokens_map.json, tokenizer.json, tokenizer_config.json, vocab.txt","{'', 'pkl', 'txt', 'bin', 'md', 'json'}",pickle_variant_without_safetensors
