library_name,github_repo,stars,usage_count,model_ids,imported_entities
BCEmbedding,,,2,"maidalun1020/bce-embedding-base_v1, maidalun1020/bce-reranker-base_v1",maidalun1020/bce-embedding-base_v1: BCEmbedding.EmbeddingModel; maidalun1020/bce-embedding-base_v1: BCEmbedding.RerankerModel; maidalun1020/bce-reranker-base_v1: BCEmbedding.EmbeddingModel; maidalun1020/bce-reranker-base_v1: BCEmbedding.RerankerModel
C_MTEB,,,1,aspire/acge_text_embedding,aspire/acge_text_embedding: C_MTEB.tasks.*
ChatTTS,,,1,2Noise/ChatTTS,2Noise/ChatTTS: ChatTTS
CodonTransformer,,,1,adibvafa/CodonTransformer,adibvafa/CodonTransformer: CodonTransformer.CodonPrediction.predict_dna_sequence; adibvafa/CodonTransformer: CodonTransformer.CodonJupyter.format_model_output
FlagEmbedding,,,24,"BAAI/bge-base-en-v1.5, BAAI/bge-large-en-v1.5, BAAI/bge-small-en-v1.5, BAAI/bge-reranker-large, BAAI/bge-reranker-v2-m3, BAAI/bge-m3, BAAI/bge-large-zh-v1.5, BAAI/bge-small-en, BAAI/bge-reranker-base, BAAI/llm-embedder, BAAI/bge-large-en, BAAI/bge-base-en, BAAI/bge-small-zh-v1.5, BAAI/bge-en-icl, BAAI/bge-reranker-v2-gemma, BAAI/bge-multilingual-gemma2, BAAI/bge-base-zh-v1.5, antoinelouis/crossencoder-mMiniLMv2-L12-mmarcoFR, BAAI/bge-reranker-v2-minicpm-layerwise, BAAI/bge-reranker-v2.5-gemma2-lightweight, BAAI/bge-small-zh, antoinelouis/crossencoder-camembert-large-mmarcoFR, BAAI/bge-large-zh, khoa-klaytn/bge-small-en-v1.5-angle",BAAI/bge-base-en-v1.5: FlagEmbedding.FlagModel; BAAI/bge-base-en-v1.5: FlagEmbedding.FlagReranker; BAAI/bge-large-en-v1.5: FlagEmbedding.FlagModel; BAAI/bge-large-en-v1.5: FlagEmbedding.FlagReranker; BAAI/bge-small-en-v1.5: FlagEmbedding.FlagModel; BAAI/bge-small-en-v1.5: FlagEmbedding.FlagReranker; BAAI/bge-reranker-large: FlagEmbedding.FlagModel; BAAI/bge-reranker-large: FlagEmbedding.FlagReranker; BAAI/bge-reranker-v2-m3: FlagEmbedding.FlagReranker; BAAI/bge-reranker-v2-m3: FlagEmbedding.FlagLLMReranker; BAAI/bge-reranker-v2-m3: FlagEmbedding.LayerWiseFlagLLMReranker; BAAI/bge-m3: FlagEmbedding.BGEM3FlagModel; BAAI/bge-m3: FlagEmbedding.BGEM3FlagModel; BAAI/bge-m3: FlagEmbedding.BGEM3FlagModel; BAAI/bge-m3: FlagEmbedding.BGEM3FlagModel; BAAI/bge-large-zh-v1.5: FlagEmbedding.FlagModel; BAAI/bge-large-zh-v1.5: FlagEmbedding.FlagReranker; BAAI/bge-small-en: FlagEmbedding.FlagModel; BAAI/bge-small-en: FlagEmbedding.FlagReranker; BAAI/bge-reranker-base: FlagEmbedding.FlagModel; BAAI/bge-reranker-base: FlagEmbedding.FlagReranker; BAAI/llm-embedder: FlagEmbedding.FlagModel; BAAI/llm-embedder: FlagEmbedding.FlagReranker; BAAI/bge-large-en: FlagEmbedding.FlagModel; BAAI/bge-large-en: FlagEmbedding.FlagReranker; BAAI/bge-base-en: FlagEmbedding.FlagModel; BAAI/bge-base-en: FlagEmbedding.FlagReranker; BAAI/bge-small-zh-v1.5: FlagEmbedding.FlagModel; BAAI/bge-small-zh-v1.5: FlagEmbedding.FlagReranker; BAAI/bge-en-icl: FlagEmbedding.FlagICLModel; BAAI/bge-reranker-v2-gemma: FlagEmbedding.FlagReranker; BAAI/bge-reranker-v2-gemma: FlagEmbedding.FlagLLMReranker; BAAI/bge-reranker-v2-gemma: FlagEmbedding.LayerWiseFlagLLMReranker; BAAI/bge-multilingual-gemma2: FlagEmbedding.FlagLLMModel; BAAI/bge-base-zh-v1.5: FlagEmbedding.FlagModel; BAAI/bge-base-zh-v1.5: FlagEmbedding.FlagReranker; antoinelouis/crossencoder-mMiniLMv2-L12-mmarcoFR: FlagEmbedding.FlagReranker; BAAI/bge-reranker-v2-minicpm-layerwise: FlagEmbedding.FlagReranker; BAAI/bge-reranker-v2-minicpm-layerwise: FlagEmbedding.FlagLLMReranker; BAAI/bge-reranker-v2-minicpm-layerwise: FlagEmbedding.LayerWiseFlagLLMReranker; BAAI/bge-reranker-v2.5-gemma2-lightweight: FlagEmbedding.LightWeightFlagLLMReranker; BAAI/bge-small-zh: FlagEmbedding.FlagModel; BAAI/bge-small-zh: FlagEmbedding.FlagReranker; antoinelouis/crossencoder-camembert-large-mmarcoFR: FlagEmbedding.FlagReranker; BAAI/bge-large-zh: FlagEmbedding.FlagModel; BAAI/bge-large-zh: FlagEmbedding.FlagReranker; khoa-klaytn/bge-small-en-v1.5-angle: FlagEmbedding.FlagModel; khoa-klaytn/bge-small-en-v1.5-angle: FlagEmbedding.FlagReranker
GENA_LM,,,1,AIRI-Institute/gena-lm-bert-base-t2t,AIRI-Institute/gena-lm-bert-base-t2t: GENA_LM.src.gena_lm.modeling_bert.BertForSequenceClassification
IPython,,,29,"nguyenvulebinh/wav2vec2-base-vi, facebook/seamless-m4t-v2-large, facebook/musicgen-small, m3hrdadfi/wav2vec2-xlsr-persian-speech-emotion-recognition, declare-lab/tango-full, suno/bark, cvssp/audioldm-l-full, suno/bark-small, m3hrdadfi/hubert-base-persian-speech-gender-recognition, facebook/mms-tts-eng, facebook/mms-tts-fin, 2Noise/ChatTTS, ylacombe/bark-small, nguyenvulebinh/wav2vec2-base-vi-vlsp2020, cvssp/audioldm2, cvssp/audioldm2-large, facebook/mms-tts-fra, facebook/mms-tts-hin, facebook/musicgen-large, facebook/mms-tts-spa, facebook/musicgen-stereo-small, facebook/musicgen-medium, facebook/fastspeech2-en-ljspeech, facebook/mms-tts-por, facebook/mms-tts-rus, kakao-enterprise/vits-ljs, facebook/mms-tts-ara, facebook/musicgen-stereo-large, m3hrdadfi/wav2vec2-large-xlsr-persian",nguyenvulebinh/wav2vec2-base-vi: IPython.lib.display.Audio; facebook/seamless-m4t-v2-large: IPython.display.Audio; facebook/musicgen-small: IPython.display.Audio; m3hrdadfi/wav2vec2-xlsr-persian-speech-emotion-recognition: IPython.display; declare-lab/tango-full: IPython; suno/bark: IPython.display.Audio; suno/bark: IPython.display.Audio; cvssp/audioldm-l-full: IPython.display.Audio; suno/bark-small: IPython.display.Audio; suno/bark-small: IPython.display.Audio; m3hrdadfi/hubert-base-persian-speech-gender-recognition: IPython.display; facebook/mms-tts-eng: IPython.display.Audio; facebook/mms-tts-fin: IPython.display.Audio; 2Noise/ChatTTS: IPython.display.Audio; ylacombe/bark-small: IPython.display.Audio; ylacombe/bark-small: IPython.display.Audio; nguyenvulebinh/wav2vec2-base-vi-vlsp2020: IPython.lib.display.Audio; cvssp/audioldm2: IPython.display.Audio; cvssp/audioldm2-large: IPython.display.Audio; facebook/mms-tts-fra: IPython.display.Audio; facebook/mms-tts-hin: IPython.display.Audio; facebook/musicgen-large: IPython.display.Audio; facebook/mms-tts-spa: IPython.display.Audio; facebook/musicgen-stereo-small: IPython.display.Audio; facebook/musicgen-medium: IPython.display.Audio; facebook/fastspeech2-en-ljspeech: IPython.display; facebook/mms-tts-por: IPython.display.Audio; facebook/mms-tts-rus: IPython.display.Audio; kakao-enterprise/vits-ljs: IPython.display.Audio; facebook/mms-tts-ara: IPython.display.Audio; facebook/musicgen-stereo-large: IPython.display.Audio; m3hrdadfi/wav2vec2-large-xlsr-persian: IPython.display
IndicTransTokenizer,,,2,"ai4bharat/indictrans2-en-indic-1B, ai4bharat/indictrans2-en-indic-dist-200M",ai4bharat/indictrans2-en-indic-1B: IndicTransTokenizer.IndicProcessor; ai4bharat/indictrans2-en-indic-dist-200M: IndicTransTokenizer.IndicProcessor
IndicTransToolkit,,,3,"ai4bharat/indictrans2-indic-en-1B, ai4bharat/indictrans2-indic-en-dist-200M, ai4bharat/indictrans2-indic-indic-1B",ai4bharat/indictrans2-indic-en-1B: IndicTransToolkit.IndicProcessor; ai4bharat/indictrans2-indic-en-dist-200M: IndicTransToolkit.IndicProcessor; ai4bharat/indictrans2-indic-indic-1B: IndicTransToolkit.IndicProcessor
InstructorEmbedding,,,3,"hkunlp/instructor-large, hkunlp/instructor-xl, hkunlp/instructor-base",hkunlp/instructor-large: InstructorEmbedding.INSTRUCTOR; hkunlp/instructor-xl: InstructorEmbedding.INSTRUCTOR; hkunlp/instructor-base: InstructorEmbedding.INSTRUCTOR
