microsoft/deberta-xlarge|['transformers', 'pytorch', 'tf', 'deberta', 'deberta-v1', 'fill-mask', 'en', 'arxiv:2006.03654', 'license:mit', 'endpoints_compatible', 'region:us']|bpe_encoder.bin|||pytorch_model.bin|from torch import HalfStorage,from collections import OrderedDict|UNPICKLER.persistent_load|
plasmo/vox2|['diffusers', 'text-to-image', 'stable-diffusion', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']|diffusion_pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import LongStorage,from torch import FloatStorage|UNPICKLER.persistent_load|
Salesforce/codet5-large|['transformers', 'pytorch', 't5', 'text2text-generation', 'arxiv:2109.00859', 'arxiv:2207.01780', 'arxiv:1909.09436', 'license:bsd-3-clause', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import HalfStorage|UNPICKLER.persistent_load|
showlab/ShowUI-2B|['pytorch', 'qwen2_vl', 'GUI agents', 'vision-language-action model', 'computer use', 'arxiv:2411.17465', 'base_model:Qwen/Qwen2-VL-2B-Instruct', 'base_model:finetune:Qwen/Qwen2-VL-2B-Instruct', 'license:mit', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import BFloat16Storage|UNPICKLER.persistent_load|
myshell-ai/MeloTTS-Chinese|['transformers', 'text-to-speech', 'ko', 'license:mit', 'endpoints_compatible', 'region:us']|checkpoint.pth|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|
onnx-community/Kokoro-82M-v1.0-ONNX|['transformers.js', 'onnx', 'style_text_to_speech_2', 'text-to-speech', 'en', 'base_model:hexgrad/Kokoro-82M', 'base_model:quantized:hexgrad/Kokoro-82M', 'license:apache-2.0', 'region:us']|
monologg/koelectra-small-v3-discriminator|['transformers', 'pytorch', 'electra', 'pretraining', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import LongStorage,from torch import FloatStorage|UNPICKLER.persistent_load|
LeoLM/leo-mistral-hessianai-7b|['transformers', 'pytorch', 'mistral', 'text-generation', 'en', 'de', 'dataset:oscar-corpus/OSCAR-2301', 'dataset:wikipedia', 'dataset:bjoernp/tagesschau-2018-2023', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']|pytorch_model-00001-of-00002.bin|from torch._utils import _rebuild_tensor_v2,from torch import HalfStorage,from collections import OrderedDict|UNPICKLER.persistent_load|pytorch_model-00002-of-00002.bin|from torch._utils import _rebuild_tensor_v2,from torch import HalfStorage,from collections import OrderedDict|UNPICKLER.persistent_load|
thanathorn/mt5-cpe-kmutt-thai-sentence-sum|['transformers', 'pytorch', 'mt5', 'text2text-generation', 'summarization', 'mT5', 'th', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|training_args.bin|from simpletransformers.config.model_args import T5Args||pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|optimizer.pt|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|scheduler.pt|||
joeddav/bart-large-mnli-yahoo-answers|['transformers', 'pytorch', 'jax', 'bart', 'text-classification', 'zero-shot-classification', 'en', 'dataset:yahoo-answers', 'arxiv:1909.00161', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from torch import FloatStorage|UNPICKLER.persistent_load|
Helsinki-NLP/opus-mt-es-ru|['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'es', 'ru', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from torch import FloatStorage|UNPICKLER.persistent_load|
Helsinki-NLP/opus-mt-en-uk|['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'en', 'uk', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from torch import FloatStorage|UNPICKLER.persistent_load|
oshizo/sbert-jsnli-luke-japanese-base-lite|['sentence-transformers', 'pytorch', 'luke', 'feature-extraction', 'sentence-similarity', 'transformers', 'ja', 'dataset:shunk031/jsnli', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|
baichuan-inc/Baichuan2-7B-Base|['transformers', 'pytorch', 'baichuan', 'text-generation', 'custom_code', 'en', 'zh', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']|pytorch_model-00001-of-00002.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import BFloat16Storage|UNPICKLER.persistent_load|pytorch_model-00002-of-00002.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import BFloat16Storage|UNPICKLER.persistent_load|
EvanD/xlm-roberta-base-romanian-ner-ronec|['transformers', 'pytorch', 'xlm-roberta', 'token-classification', 'named-entity-recognition', 'sequence-tagger-model', 'ro', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|
kabelomalapane/en_nso_ukuxhumana_model|['transformers', 'pytorch', 'tensorboard', 'marian', 'text2text-generation', 'translation', 'generated_from_trainer', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|training_args.bin|from transformers.trainer_utils import SchedulerType,from transformers.training_args import OptimizerNames,from torch import device,from transformers.training_args_seq2seq import Seq2SeqTrainingArguments,from transformers.trainer_utils import IntervalStrategy,from transformers.trainer_utils import HubStrategy||pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from collections import OrderedDict,from torch import FloatStorage|UNPICKLER.persistent_load|
Helsinki-NLP/opus-mt-eu-en|['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'eu', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']|pytorch_model.bin|from torch._utils import _rebuild_tensor_v2,from torch import FloatStorage|UNPICKLER.persistent_load|
